Item,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,اجمالي,coffee,milk,Condensed,Turkish,tea,Tea F,Cup 8,Cup 12,Cap tea,cap 16,cap 4,cap ias,Flavor Syrup,Cola,soda,Water,Vanilla Powder,Chocolate Powder,matcha,Kramer,White chocolate,Chocolate Sauce,Caramel Sauce,Raspberry,Peach Sauce,Mango Sauce,Strawberry Sauce,Passion Fruit,Oreo,Snickers,Pineapple juice,Orange juice,Manho juice,strawberry juice,Guava juice,Straw,Spoons,whipped cream,sugar,Bubba,honey,Vanilla Packet,milk albro,Pistacio,Unnamed: 77,Item.1,المبيعات,الوارد,القفل,الفعلي,(+-)
Mango Juice  ,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,
Strawberry Slushed (13oz),2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,
Guava Slushed (13oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
Orange Slushed  (13oz),10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,10,,,,10,,,,,,,,,,,,,,,
Mango Slushed   (13oz),14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,14,,,14,,,,,,,,,,,,,,,
Lemon mint Juice(13oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Italian soda (13oz),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1,30,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Cherry coke-cherry sprite ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Cranberry Lemon Fizz (13oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Pina colada (13oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,
